"route_uid","route_id","has_sub_routes","operator_id","operator_name_zh","operator_name_en","authority_id","provider_id","sub_route_uid","sub_route_id","sub_route_name_zh","sub_route_name_en","headsign","headsign_en","direction","first_bus_time","last_bus_time","holiday_first_bus_time","holiday_last_bus_time","bus_route_type","route_name_zh","route_name_en","departure_stop_name_zh","departure_stop_name_en","destination_stop_name_zh","destination_stop_name_en","ticket_price_description_zh","ticket_price_description_en","fare_buffer_zone_description_zh","fare_buffer_zone_description_en","route_map_image_url","city","city_code","SrcUpdateTime","UpdateTime","InfoTime","InfoDate"
KHH100,"100",1,"10270",統聯客運,"United Highway Bus Co., Ltd.","009","009",KHH100,"100","100百貨幹線","100",瑞豐站－高雄火車站,,0,,,,,11,"100百貨幹線","100",瑞豐站,Rueifong Station,高雄火車站,Kaohsiung Train Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH100,"100",1,"10270",統聯客運,"United Highway Bus Co., Ltd.","009","009",KHH100,"100","100百貨幹線","100",瑞豐站－高雄火車站,,1,,,,,11,"100百貨幹線","100",瑞豐站,Rueifong Station,高雄火車站,Kaohsiung Train Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH11,"11",1,"10270",統聯客運,"United Highway Bus Co., Ltd.","009","009",KHH11,"11","11","11",瑞豐站－捷運鹽埕埔站,,0,,,,,11,"11","11",瑞豐站,Rueifong Station,捷運鹽埕埔站,MRT Yanchengpu Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH11,"11",1,"10270",統聯客運,"United Highway Bus Co., Ltd.","009","009",KHH11,"11","11","11",瑞豐站－捷運鹽埕埔站,,1,,,,,11,"11","11",瑞豐站,Rueifong Station,捷運鹽埕埔站,MRT Yanchengpu Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH1111,"1111",1,"10320",高雄客運,"Kaohsiung Bus Co., Ltd.","009","009",KHH1111,"1111",JOY公車H11A,Medical Shuttle Bus H11A,寶來－義大醫院－長庚醫院,,0,,,,,11,JOY公車H11A,Medical Shuttle Bus H11A,寶來7-11,Baolai 7-11,長庚醫院,Chang Gung Memorial Hospital,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH1111,"1111",1,"10320",高雄客運,"Kaohsiung Bus Co., Ltd.","009","009",KHH1111,"1111",JOY公車H11A,Medical Shuttle Bus H11A,寶來－義大醫院－長庚醫院,,1,,,,,11,JOY公車H11A,Medical Shuttle Bus H11A,寶來7-11,Baolai 7-11,長庚醫院,Chang Gung Memorial Hospital,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH112,"112",1,"10320",高雄客運,"Kaohsiung Bus Co., Ltd.","009","009",KHH112,"112",JOY公車H12,Medical Shuttle Bus H12,桃源區－旗山南站－榮民總醫院－高雄醫學院,,0,,,,,11,JOY公車H12,Medical Shuttle Bus H12,桃源區公所,Taoyuan District Office,高醫,Kaohsiung  Medical University,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH112,"112",1,"10320",高雄客運,"Kaohsiung Bus Co., Ltd.","009","009",KHH112,"112",JOY公車H12,Medical Shuttle Bus H12,桃源區－旗山南站－榮民總醫院－高雄醫學院,,1,,,,,11,JOY公車H12,Medical Shuttle Bus H12,桃源區公所,Taoyuan District Office,高醫,Kaohsiung  Medical University,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH1121,"1121",1,"10320",高雄客運,"Kaohsiung Bus Co., Ltd.","009","009",KHH1121,"1121",JOY公車H21區間(那瑪夏-甲仙站),Medical Shuttle Bus H21(Interval)(Namasia-Jiasian),那瑪夏區公所－甲仙站,,0,,,,,11,JOY公車H21區間(那瑪夏-甲仙站),Medical Shuttle Bus H21(Interval)(Namasia-Jiasian),那瑪夏區公所,Namasia District Office,甲仙站,Jiasian Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
KHH1121,"1121",1,"10320",高雄客運,"Kaohsiung Bus Co., Ltd.","009","009",KHH1121,"1121",JOY公車H21區間(那瑪夏-甲仙站),Medical Shuttle Bus H21(Interval)(Namasia-Jiasian),那瑪夏區公所－甲仙站,,1,,,,,11,JOY公車H21區間(那瑪夏-甲仙站),Medical Shuttle Bus H21(Interval)(Namasia-Jiasian),那瑪夏區公所,Namasia District Office,甲仙站,Jiasian Station,,,,,,Kaohsiung,KHH,"2021-05-20 12:21:05","2021-05-21 16:25:26","2021-05-20 12:21:05","2021-05-20"
