id,road_id,road_name,road_direction,district
1,kao_0001,臨海二路(濱海二路~鼓山一路),往東,鼓山區
2,kao_0002,臨海新路(鼓山一路~蓬萊路),往東,鼓山區
3,kao_0003,臨海新路(蓬萊路~鼓山一路),往西,鼓山區
4,kao_0004,臨海二路(鼓山一路~濱海二路),往西,鼓山區
5,kao_0005,濱海二路(臨海二路~濱海一路),往南,鼓山區
6,kao_0006,濱海一路(濱海二路~臨海新路),往東,鼓山區
7,kao_0007,鼓山一路(臨海新路~五福四路),往北,鼓山區
8,kao_0008,公園二路(五福四路~大義街),往西,鹽埕區
9,kao_0009,公園二路(大義街~七賢三路),往西,鹽埕區
10,kao_0010,公園二路(七賢三路~大義街),往東,鹽埕區
11,kao_0011,公園二路(大義街~五福四路),往東,鹽埕區
12,kao_0012,五福四路(公園二路~大義街),往西,鹽埕區
13,kao_0013,五福四路(大義街~七賢三路),往西,鹽埕區
14,kao_0014,五福四路(七賢三路~鼓山一路),往西,鹽埕區
15,kao_0015,五福四路(鼓山一路~七賢三路),往東,鹽埕區
16,kao_0016,五福四路(七賢三路~大義街),往東,鹽埕區
17,kao_0017,五福四路(大義街~公園二路),往東,鹽埕區
18,kao_0018,五福四路(公園二路~成功一路),往東,前金區
19,kao_0019,五福三路(成功一路~中華四路),往東,前金區
20,kao_0020,五福三路(中華四路~中山一路),往東,前金區
21,kao_0021,五福三路(中山一路~中華四路),往西,前金區
22,kao_0022,五福三路(中華四路~成功一路),往西,前金區
23,kao_0023,五福三路(成功一路~公園二路),往西,前金區
24,kao_0024,海邊路(成功二路~青年二路),往北,苓雅區
25,kao_0025,海邊路(青年二路~五福四路),往北,苓雅區
26,kao_0026,海邊路(五福四路~青年二路),往南,苓雅區
27,kao_0027,海邊路(青年二路~成功二路),往南,苓雅區
28,kao_0028,蓬萊路-七賢三路(臨海新路~五福四路),往北,鹽埕區
29,kao_0029,七賢三路(五福四路~七賢二路),往北,鹽埕區
30,kao_0030,七賢二路(七賢三路~成功一路),往東,前金區
31,kao_0031,七賢二路(成功一路~七賢三路),往西,前金區
32,kao_0032,七賢三路(七賢二路~五福四路),往南,鹽埕區
33,kao_0033,七賢三路(五福四路~臨海新路),往南,鹽埕區
34,kao_0034,大勇路(公園二路~大公路),往北,鹽埕區
35,kao_0035,大勇路(大公路~公園二路),往南,鹽埕區
