id,road_id,road_name,station_o,station_d,o_lat,o_lon,d_lat,d_lon,m_lat,m_lon,remark,SrcUpdateTime,UpdateTime,InfoTime,InfoDate
1,kao_0001,臨海二路,濱海二路,鼓山一路,22.62404,120.2701,22.62122,120.27503,22.62263001,120.272565,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
2,kao_0002,臨海新路,鼓山一路,蓬萊路,22.62122,120.27503,22.61964,120.27863,22.62043,120.27683,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
3,kao_0003,臨海新路,蓬萊路,鼓山一路,22.61964,120.27863,22.6213,120.27502,22.62047,120.276825,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
4,kao_0004,臨海二路,鼓山一路,濱海二路,22.6213,120.27502,22.62413,120.27002,22.62239927,120.273016,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
5,kao_0005,濱海二路,臨海二路,濱海一路,22.62404,120.27004,22.61989,120.27014,22.62196502,120.27009,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
6,kao_0006,濱海一路,濱海二路,臨海新路,22.61989,120.27014,22.62134,120.27508,22.62085434,120.2723958,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
7,kao_0007,鼓山一路,臨海新路,五福四路,22.62134,120.27508,22.62638,120.27817,22.62386002,120.276625,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
8,kao_0008,公園二路,五福四路,大義街,22.62072,120.28925,22.62025,120.28552,22.62041958,120.2875321,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
9,kao_0009,公園二路,大義街,七賢三路,22.62025,120.28552,22.62281,120.28019,22.62153001,120.282855,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
10,kao_0010,公園二路,七賢三路,大義街,22.62272,120.28029,22.62022,120.28557,22.62147001,120.28293,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
11,kao_0011,公園二路,大義街,五福四路,22.62022,120.28557,22.62078,120.28924,22.62131386,120.2860515,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
12,kao_0012,五福四路,公園二路,大義街,22.62079,120.2892,22.62217,120.28655,22.62148,120.287875,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
13,kao_0013,五福四路,大義街,七賢三路,22.62217,120.28655,22.62472,120.28129,22.62344501,120.28392,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
14,kao_0014,五福四路,七賢三路,鼓山一路,22.62472,120.28129,22.62631,120.2781,22.625515,120.279695,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
15,kao_0015,五福四路,鼓山一路,七賢三路,22.62632,120.27816,22.62465,120.28137,22.625485,120.279765,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
16,kao_0016,五福四路,七賢三路,大義街,22.62465,120.28137,22.6221,120.2866,22.62337501,120.283985,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
17,kao_0017,五福四路,大義街,公園二路,22.6221,120.2866,22.62074,120.28927,22.62142,120.287935,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
18,kao_0018,五福四路,公園二路,成功一路,22.62074,120.28927,22.62106,120.29515,22.62062854,120.2923611,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
19,kao_0019,五福三路,成功一路,中華四路,22.62106,120.29515,22.62246,120.29923,22.62176,120.29719,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
20,kao_0020,五福三路,中華四路,中山一路,22.62246,120.29923,22.62309,120.30113,22.622775,120.30018,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
21,kao_0021,五福三路,中山一路,中華四路,22.6232,120.30094,22.62222,120.29799,22.62272807,120.2996943,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
22,kao_0022,五福三路,中華四路,成功一路,22.62222,120.29799,22.62113,120.29493,22.621675,120.29646,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
23,kao_0023,五福三路,成功一路,公園二路,22.62113,120.29493,22.62079,120.2892,22.62072263,120.2919534,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
24,kao_0024,海邊路,成功二路,青年二路,22.61193,120.29848,22.61738,120.29379,22.61559946,120.2971795,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
25,kao_0025,海邊路,青年二路,五福四路,22.61738,120.29379,22.62068,120.29083,22.61917966,120.2930328,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
26,kao_0026,海邊路,五福四路,青年二路,22.62056,120.29087,22.61707,120.29392,22.61881501,120.292395,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
27,kao_0027,海邊路,青年二路,成功二路,22.6173,120.29365,22.61194,120.29861,22.61500919,120.2973554,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
28,kao_0028,蓬萊路-七賢三路,臨海新路,五福四路,22.61963,120.27864,22.62479,120.28139,22.62221002,120.280015,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
29,kao_0029,七賢三路,五福四路,七賢二路,22.62479,120.28139,22.62932,120.28389,22.62705502,120.28264,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
30,kao_0030,七賢二路,七賢三路,成功一路,22.62932,120.28389,22.63154,120.29095,22.63043,120.28742,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
31,kao_0031,七賢二路,成功一路,七賢三路,22.63154,120.29087,22.62933,120.28387,22.630435,120.28737,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
32,kao_0032,七賢三路,七賢二路,五福四路,22.62933,120.28387,22.62461,120.2813,22.62697002,120.282585,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
33,kao_0033,七賢三路,五福四路,臨海新路,22.62461,120.2813,22.61961,120.27858,22.62211002,120.27994,,2021/7/16 18:19,2021/7/16 18:19,2021/7/16 18:19,2021/7/16
