TicketType,TrainType,StationNo,StationName,TransactionDate,Enter,Exit
一般,捷運,R24,南岡山站,20210622 05:30:00,1,0
一般,捷運,R24,南岡山站,20210622 05:45:00,7,0
一般,捷運,R24,南岡山站,20210622 06:00:00,14,0
一般,捷運,R24,南岡山站,20210622 06:15:00,22,11
一般,捷運,R24,南岡山站,20210622 06:30:00,30,22
一般,捷運,R24,南岡山站,20210622 06:45:00,45,29
一般,捷運,R24,南岡山站,20210622 07:00:00,53,28
一般,捷運,R24,南岡山站,20210622 07:15:00,66,59
一般,捷運,R24,南岡山站,20210622 07:30:00,78,65
一般,捷運,R24,南岡山站,20210622 07:45:00,54,50
一般,捷運,R24,南岡山站,20210622 08:00:00,50,42
一般,捷運,R24,南岡山站,20210622 08:15:00,25,16
一般,捷運,R24,南岡山站,20210622 08:30:00,20,23
一般,捷運,R24,南岡山站,20210622 08:45:00,10,9
一般,捷運,R24,南岡山站,20210622 09:00:00,15,8
一般,捷運,R24,南岡山站,20210622 09:15:00,17,5
一般,捷運,R24,南岡山站,20210622 09:30:00,12,9
一般,捷運,R24,南岡山站,20210622 09:45:00,17,10
一般,捷運,R24,南岡山站,20210622 10:00:00,14,9
一般,捷運,R24,南岡山站,20210622 10:15:00,13,4
一般,捷運,R24,南岡山站,20210622 10:30:00,17,5
一般,捷運,R24,南岡山站,20210622 10:45:00,11,2
一般,捷運,R24,南岡山站,20210622 11:00:00,11,7
一般,捷運,R24,南岡山站,20210622 11:15:00,4,5
一般,捷運,R24,南岡山站,20210622 11:30:00,9,13
一般,捷運,R24,南岡山站,20210622 11:45:00,6,4
一般,捷運,R24,南岡山站,20210622 12:00:00,5,7
一般,捷運,R24,南岡山站,20210622 12:15:00,4,6
一般,捷運,R24,南岡山站,20210622 12:30:00,7,7
一般,捷運,R24,南岡山站,20210622 12:45:00,4,3
一般,捷運,R24,南岡山站,20210622 13:00:00,11,10
一般,捷運,R24,南岡山站,20210622 13:15:00,13,11
一般,捷運,R24,南岡山站,20210622 13:30:00,7,6
一般,捷運,R24,南岡山站,20210622 13:45:00,1,3
一般,捷運,R24,南岡山站,20210622 14:00:00,7,6
一般,捷運,R24,南岡山站,20210622 14:15:00,10,3
一般,捷運,R24,南岡山站,20210622 14:30:00,3,3
一般,捷運,R24,南岡山站,20210622 14:45:00,7,6
一般,捷運,R24,南岡山站,20210622 15:00:00,4,14
一般,捷運,R24,南岡山站,20210622 15:15:00,5,9
一般,捷運,R24,南岡山站,20210622 15:30:00,12,8
一般,捷運,R24,南岡山站,20210622 15:45:00,10,11
一般,捷運,R24,南岡山站,20210622 16:00:00,5,9
一般,捷運,R24,南岡山站,20210622 16:15:00,13,8
一般,捷運,R24,南岡山站,20210622 16:30:00,8,12
一般,捷運,R24,南岡山站,20210622 16:45:00,25,16
一般,捷運,R24,南岡山站,20210622 17:00:00,22,20
一般,捷運,R24,南岡山站,20210622 17:15:00,28,17
一般,捷運,R24,南岡山站,20210622 17:30:00,55,22
一般,捷運,R24,南岡山站,20210622 17:45:00,60,44
一般,捷運,R24,南岡山站,20210622 18:00:00,49,49
一般,捷運,R24,南岡山站,20210622 18:15:00,34,57
一般,捷運,R24,南岡山站,20210622 18:30:00,21,65
一般,捷運,R24,南岡山站,20210622 18:45:00,21,51
一般,捷運,R24,南岡山站,20210622 19:00:00,15,40
一般,捷運,R24,南岡山站,20210622 19:15:00,9,13
一般,捷運,R24,南岡山站,20210622 19:30:00,8,39
一般,捷運,R24,南岡山站,20210622 19:45:00,17,17
一般,捷運,R24,南岡山站,20210622 20:00:00,8,19
一般,捷運,R24,南岡山站,20210622 20:15:00,4,21
一般,捷運,R24,南岡山站,20210622 20:30:00,7,11
一般,捷運,R24,南岡山站,20210622 20:45:00,5,23
一般,捷運,R24,南岡山站,20210622 21:00:00,6,8
一般,捷運,R24,南岡山站,20210622 21:15:00,6,14
一般,捷運,R24,南岡山站,20210622 21:30:00,7,9
一般,捷運,R24,南岡山站,20210622 21:45:00,7,12
一般,捷運,R24,南岡山站,20210622 22:00:00,2,9
一般,捷運,R24,南岡山站,20210622 22:15:00,0,3
一般,捷運,R24,南岡山站,20210622 22:30:00,2,2
一般,捷運,R24,南岡山站,20210622 22:45:00,3,8
一般,捷運,R24,南岡山站,20210622 23:00:00,1,4
一般,捷運,R24,南岡山站,20210622 23:15:00,1,3
一般,捷運,R24,南岡山站,20210622 23:30:00,0,2
一般,捷運,R24,南岡山站,20210622 23:45:00,0,4
一般,捷運,R16,左營站,20210622 05:30:00,2,0
一般,捷運,R16,左營站,20210622 05:45:00,2,0
