"id","name","v_type","volumn","h0","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12","h13","h14","h15","h16","h17","h18","h19","h20","h21","h22","h23","src_time","update_time","leftspace"
"448a",捷運都會公園站轉乘停車場,1,287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:08:01,2021-10-09 16:02:14,-1
AA23,美術館立體停車場,1,333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:08:01,2021-10-09 16:02:14,-1
"816",國泰青年停車場,1,514,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:08:01,2021-10-09 16:02:14,-1
"836",金鼎段(仁武),1,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"837",仁雄停十一,1,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"840",歡樂17,1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
car10,捷運大寮站轉乘停車場,1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:08:01,2021-10-09 16:02:14,-1
"841",同慶,1,111,51,50,50,50,50,52,50,50,51,51,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,51
"843",大樹舊鐵橋,1,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"844",大社停一,1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"846",仁慈,1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"848",金山,1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"852",辛亥,1,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"831",竹子腳,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"832",榮光,1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"833",澄德段停一,1,108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"834",慈惠,1,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
"835",澄合停九,1,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
AD04,文化中心停車場,1,830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:08:01,2021-10-09 16:02:14,-1
停4370,前金立體停車場,1,648,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:08:01,2021-10-09 16:02:14,-1
停4026,草衙道地下停車場,1,967,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:08:01,2021-10-09 16:02:14,-1
car5,高雄國際機場停車場,1,1051,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:08:01,2021-10-09 16:02:14,-1
停3364,高雄捷運R22青埔站轉乘停車場,1,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:08:01,2021-10-09 16:02:14,-1
"853",富民,1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-10 10:06:00,2021-10-10 10:07:01,-1
